==COMPLETE LIST OF ISCN(2024) EXAMPLES==

'''This file contains all of the ISCN(2024) examples from the cytogenetics and in situ hybridization chapters.  The Example Numbers in parentheses are for reference to this file and are not published in the ISCN.  The markup for underlining (<u></u>) has been retained and should not be used in the ISCN string.  Section numbers have been intercalated for easier location in the ISCN text.  For most efficient searching, pipe multiple instances of grep to identify the examples with particular patterns of interest.  For example, grep 'der' | grep 'ins' finds all examples of derivative chromosomes involving an insertion.'''


(Ex.1)	inv(Y)(p11.2q11.2)pat
(Ex.191)	46,XY,der(5)t(5;11)(p10;p10)t(5;8)(q31;q23),der(8)t(5;8),der(11)t(5;11) or 46,XY,der(5)(11pter-->11p10::5p10-->5q31::8q23-->8qter),der(8)(8pter-->8q23::5q31-->5qter),der(11)(5pter-->5p10::11p10-->11qter)
(Ex.192)	46,XX,ider(22)(q10)t(9;22)(q34;q11.2)[20]
(Ex.193)	46,XX,ider(22)(9qter-->9q34::22q11.2-->22q10::22q10-->22q11.2::9q34-->9qter)[20]
(Ex.194)	46,XY,ider(9)(p10)ins(9;12)(p13;q22q13)[12]
(Ex.195)	46,XY,ider(9)(9pter-->9p13::12q22-->12q13::9p13-->9p10::9p10-->9p13::12q13-->12q22::9p13-->9pter)[12]
(Ex.196)	45,XX,der(5;7)t(5;7)(q22;p13)t(3;7)(q21;q21)
(Ex.197)	45,XX,der(5;7)(5pter-->5q22::7p13-->7q21::3q21-->3qter)
(Ex.198)	45,XY,der(5;7)t(3;5)(q21;q22)t(3;7)(q29;p13)
(Ex.199)	45,XY,der(5;7)(5pter-->5q22::3q21-->3q29::7p13-->7qter)
(Ex.200)	45,XY,der(5;7)t(3;5)(q21;q22)t(3;7)(q29;p13)del(7)(q32)
(Ex.201)	45,XY,der(5;7)(5pter-->5q22::3q21-->3q29::7p13-->7q32:)
(Ex.202)	45,XX,der(8;8)(q10;q10)del(8)(q22)t(8;9)(q24.1;q12)
(Ex.203)	45,XX,der(8;8)(:8q22-->8q10::8q10-->8q24.1::9q12-->9qter)
(Ex.204)	47,XY,+der(?)t(?;9)(?;q22)
(Ex.205)	47,XY,+der(?)(?-->cen-->?::9q22-->9qter)
(Ex.206)	47,XX,+der(?)t(?;9)(?;p13)ins(?;7)(?;q11.2q32)[20]
(Ex.207)	47,XX,+der(?)(9pter-->9p13::?-->cen-->?::7q11.2-->7q32::?)[20]
(Ex.208)	47,XX,+der(?)t(?;9)(?;p13)hsr(?)[20]
(Ex.209)	47,XX,+der(?)(9pter-->9p13::?-->cen-->?::hsr-->?)[20]
(Ex.210)	47,XY,+der(8)ins(8;?)(p22;?)t(8;9)(q24;q22)[10]
(Ex.211)	47,XY,+der(8)(8pter-->8p22::?::8p22-->8q24::9q22-->9qter)[10]
(Ex.212)	46,XX,der(9)del(9)(p12)t(9;22)(q34;q11.2),der(9)t(9;12)(p13;q22)inv(9)(q13q22)[20]
(Ex.213)	46,XX,der(9)del(9)(p12)t(9;22)(q34;q11.2),der(<u>9</u>)t(<u>9</u>;12)(p13;q22)inv(<u>9</u>)(q13q22)[20]
(Ex.214)	46,XX,der(1)t(1;3)(p34.3;q21),der(<u>1</u>)t(<u>1</u>;3)(p34.3;q21)[15]
(Ex.215)	46,XX,der(1)t(1;3)(p34.3;q21)[20]/46,XX,der(1)t(1;3)(p34.3;q21)[10]
(Ex.216)	46,XX,der(1)t(1;1)(p31;q32)
(Ex.217)	46,XX,der(1)t(<u>1</u>;1)(p31;q32)
(Ex.218)	46,XX,der(1)(1pter-->1q32::<u>1</u>p31--><u>1</u>pter)
(Ex.219)	46,XX,der(1)t(1;1)(p31;q32)
(Ex.220)	46,XX,der(1)(<u>1</u>qter--><u>1</u>q32::1p31-->1qter)
(Ex.221)	47,XX,t(9;22)(q34;q11.2),+der(22)t(9;22)[10]
(Ex.222)	46,XX,der(1)t(1;3)(p32;q21)inv(1)(p22q21)t(1;11)(q25;q13),der(3)t(1;3),der(11)t(1;11)
(Ex.223)	47,XY,der(9)t(9;22)(q34;q11.2),+22,ider(22)(q10)t(9;22)[20]
(Ex.224)	47,XY,der(9)(9pter-->9q34::22q11.2-->22qter),+22,ider(22)(9qter-->9q34::22q11.2-->22q10::22q10-->22q11.2::9q34-->9qter)[20]
5.5.4
(Ex.225)	45,XX,dic(13;13)(q14;q32) or 45,XX,dic(13;13)(13pter-->13q14::13q32-->13pter)
(Ex.226)	45,XX,dic(13;15)(q22;q24) or 45,XX,dic(13;15)(13pter-->13q22::15q24-->15pter)
(Ex.227)	46,XX,+13,dic(13;15)(q22;q24)
(Ex.228)	45,XY,dic(14;21)(p11.2;p11.2) or 45,XY,dic(14;21)(14qter-->14p11.2::21p11.2-->21qter)
(Ex.229)	47,XY,+dic(17;?)(q22;?) or 47,XY,+dic(17;?)(17pter-->17q22::?)
(Ex.230)	46,X,idic(Y)(q12) or 46,X,idic(Y)(pter-->q12::q12-->pter)
(Ex.231)	46,XX,idic(21)(q22.3) or 46,XX,idic(21)(pter-->q22.3::q22.3-->pter)
(Ex.232)	47,XX,+idic(13)(q22) or 47,XX,+idic(13)(pter-->q22::q22-->pter)
(Ex.233)	47,XY,+dic(15;15)(q12;q12) or 47,XY,+dic(15;15)(15pter-->15q12::15q12-->15pter)
(Ex.234)	45,XX,psudic(15;13)(q12;q12) or 45,XX,psudic(15;13)(15pter-->15q12::13q12-->13pter)
(Ex.235)	46,XX,psuidic(20)(q11.2) or 46,XX,psuidic(20)(pter-->q11.2::q11.2-->pter)
5.5.5
(Ex.236)	46,XX,dup(1)(p34p31) or 46,XX,dup(1)(pter-->p31::p34-->qter)
(Ex.237)	46,XX,dup(1)(p31p34) or 46,XX,dup(1)(pter-->p31::p31-->p34::p31-->qter) or dup(1)(pter-->p34::p31-->p34::p34-->qter)
(Ex.238)	46,XX,dup(1)(q22q25) or 46,XX,dup(1)(pter-->q25::q22-->qter)
(Ex.239)	46,XY,dup(1)(q25q22) or 46,XY,dup(1)(pter-->q25::q25-->q22::q25-->qter) or dup(1)(pter-->q22::q25-->q22::q22-->qter)
5.5.6
(Ex.240)	47,XY,-10,+fis(10)(p10),+fis(10)(q10) or 47,XY,-10,+fis(10)(pter-->p10:),+fis(10)(:q10-->qter)
5.5.7
(Ex.241)	46,X,fra(X)(q27.3)
(Ex.242)	46,Y,fra(X)(q27.3)
